rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k
1120,0x849cd06912a99cd4503787394f5838cf580f7e0f,1.3434849202994597,False,3310.50700218,5553.52411866,0.0,0.8008,0.4198,0.35,816.2546235374999,0.24656483825588907,0.24656483825588907,False
1121,0x9b3b0167198d44a79cb35399df4f64fc64901201,1.3436405023904472,False,51992.56887035,89563.23250965,15179.85551188,0.78,0.75,10.583918091299488,24683.34879190114,0.474747628905434,0.474747628905434,False
1122,0xb0921bf1d04f4dbcf6c27e630f243a3957a2c57e,1.3466487037853718,False,3495.53475878,6034.94532301,1030.67423347,0.78,0.75,1.5,3498.234100875,1.0007722257912668,1.0,False
1123,0xcdbde28952b84a8be79bd174d72725b0a881dfcb,1.3466487946869152,False,5825.89487653,10058.24911981,1717.79196332,0.78,0.75,2.5,5830.390168125,1.0007716053396551,1.0,False
1124,0x11461fb7df3636149222bfc80d1086a36e9917fb,1.3470172473877216,False,7641.56351374,10835.07142107,0.0,0.95,0.0,3.261,7605.16093530225,0.995236239498331,0.995236239498331,False
1125,0x02d2211df92f83e7ce0489e11beb1870b24113d6,1.3484745238733329,False,4.3298772,7.33677914,0.0,0.7958,0.5127,0.001,2.33215606725,0.5386194479718732,0.5386194479718732,False
1126,0xe6bf40e81038050d76d658281ed6bcdf752d23bb,1.3489581528708006,False,13956.76329,24137.29439453,3663.461618,0.78,0.73,6.0,13992.9364035,1.0025917981661205,1.0,False
1127,0xd45331e4a6ef104979eaa873460657428dd1d634,1.3491987935708627,False,36514.54850843,63048.10967036,9132.28289291,0.7813,0.724,0.5695047827722082,1328.1740344700986,0.03637383149249311,0.03637383149249311,False
1128,0xa189fea7d8be09e7a644d0e5ca19c548524894d7,1.3492979115139598,False,850215.61944582,1443877.13796777,251462.63682358,0.7945,0.763,69.83211921588185,162859.40051824416,0.19155070407245367,0.19155070407245367,True
1129,0x6054f1f6c768ccafbc17de48d2669c5312b0f47b,1.350131919619825,False,0.06318772,0.10351237,0.0,0.8241,0.0781,2e-06,0.0046643121345,0.07381675006631035,0.07381675006631035,False
1130,0xd5415b384379b9d40f5afaf7e0aa6a61d9dd65ed,1.3503519963056994,False,13073.03673275,21268.91716849,0.0,0.83,0.0,2.25,5247.3511513124995,0.4013873179264512,0.4013873179264512,False
1131,0x46d96bd7d81894533966dd002f1a18f80f01834c,1.3504969730011387,False,43414.48137698,75168.10985111,12954.08420036,0.78,0.7499,18.69192721254023,43592.49145732108,1.0041002466157631,1.0,False
1132,0x0d402f421baa1104320f2054074deff1de1bd1ba,1.3508821557888424,False,2653377.11107978,5048392.00424074,0.0,0.71,0.0,281.6297995046684,656804.6456332135,0.2475353551858785,0.2475353551858785,True
1133,0x9f07b9f9a23a79224032b50286041542da532a83,1.3541168619676662,False,256897.63632688,366178.33805249,83648.21806193,0.95,0.93,105.0,244876.38706125,0.9532060729031621,0.9532060729031621,True
1134,0x9adc7bb0486afa06dd8a1d2e99b388977f60692a,1.3541763389108097,False,4556.70603244,7967.0392506,0.0,0.7745,0.141,0.08,186.57248538,0.040944595515215884,0.040944595515215884,False
