symbol,total_supply_usd,total_debt_usd,total_activity_usd,supplier_users,borrower_users,active_users,debt_from_high_loopers_usd,debt_from_extreme_loopers_usd,debt_from_low_hf_users_usd,supply_from_high_loopers_usd,supply_from_extreme_loopers_usd,supply_from_low_hf_users_usd,equity_backed_supply_usd,debt_high_loop_share,debt_extreme_loop_share,debt_low_hf_share,supply_high_loop_share,supply_extreme_loop_share,supply_low_hf_share,equity_backing_ratio,synthetic_or_looped_supply_ratio,looping_activity_score,healthy_collateral_score
syrupUSDT,2392396.000109017,0.0,2392396.000109017,33,0,33,0.0,0.0,0.0,1985579.0568090007,944261.6056949999,1883935.1174150014,291938.508480929,0.0,0.0,0.0,0.8299541784547882,0.39469285421475864,0.7874679264340662,0.12202766952779805,0.8779723304722019,0.8299541784547882,0.01569851591303943
AAVE,1844896.2048848956,0.0,1844896.2048848956,4006,0,4006,0.0,0.0,0.0,13745.785038874925,674.392709991046,26379.309585366318,962647.2891366701,0.0,0.0,0.0,0.007450709152351763,0.0003655450687173601,0.014298533172500153,0.5217894028876982,0.47821059711230185,0.007450709152351763,0.5141405695254025
PT-eUSDE-29MAY2025,1433349.3169098904,0.0,1433349.3169098904,54,0,54,0.0,0.0,0.0,2.1100277081131935e-10,2.1100277081131935e-10,0.04314220391825074,211.95737327673115,0.0,0.0,0.0,1.4720959386663198e-16,1.4720959386663198e-16,3.00988763934109e-08,0.00014787558815996293,0.99985212441184,1.4720959386663198e-16,0.00014787558370907386
FRAX,1147570.6897453151,45738.030878171136,1193308.7206234862,62,10,71,0.0,0.0,1.7478604358527e-05,0.0,0.0,295.65824730315705,404059.38800885377,0.0,0.0,3.8214597399445136e-10,0.0,0.0,0.000257638374651041,0.35209978053598445,0.6479002194640155,0.0,0.3520090661208122
SNX,709887.1368472853,46551.584857866095,756438.7217051514,179,9,187,0.0,0.0,0.0,2280.9650794352297,0.0,29001.425093500457,273298.8480159518,0.0,0.0,0.0,0.0032131376398300943,0.0,0.04085357176959159,0.3849891536698534,0.6150108463301466,0.0030153996800871283,0.36926097164988775
RPL,460990.52187459683,123018.98371593253,584009.5055905294,190,26,215,0.0,0.0,0.01,49.999993221277485,0.0,199.7304581297642,65300.96192212405,0.0,0.0,8.128826704577037e-08,0.00010846208511609914,0.0,0.00043326369773844686,0.14165358900781883,0.8583464109921812,8.56150332188845e-05,0.14159221565004737
BAL,472980.58647609723,36011.92606961051,508992.51254570775,174,17,191,0.0,0.0,0.0,9.9999999163571,0.0,2184.5390038308965,360667.23543527414,0.0,0.0,0.0,2.1142516632365976e-05,0.0,0.004618665260886549,0.7625413087720906,0.2374586912279094,1.964665426283475e-05,0.759019385719274
eUSDe,401720.52548716165,0.0,401720.52548716165,190,0,190,0.0,0.0,0.0,8844.375250872828,3242.4792892175774,3242.9515876608216,243243.01304999317,0.0,0.0,0.0,0.02201623937474283,0.008071480254302321,0.008072655943402776,0.6055030739467825,0.3944969260532175,0.02201623937474283,0.5957672033935346
BTC.b,287897.3816951714,0.0,287897.3816951714,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,228724.02921085095,0.0,0.0,0.0,0.0,0.0,0.0,0.7944637351826499,0.2055362648173501,0.0,0.7944637351826499
tETH,238918.0244843763,0.0,238918.0244843763,64,0,64,0.0,0.0,0.0,58.44994354175,58.44994354175,58.45014766278872,217169.84408506862,0.0,0.0,0.0,0.00024464434471988634,0.00024464434471988634,0.0002446451990758487,0.9089722073240654,0.09102779267593464,0.00024464434471988634,0.9085275111303749
mUSD,84985.564907,21985.079514999998,106970.64442200001,66,18,84,0.447239,0.0,0.447239,0.0,0.0,0.0,71149.53796097598,2.0342842048620175e-05,0.0,2.0342842048620175e-05,0.0,0.0,0.0,0.8371955641976984,0.16280443580230164,4.1809507871677275e-06,0.8371955641976984
PT-USDG-28MAY2026,80186.18167600001,0.0,80186.18167600001,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,80186.18167600001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
