rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k,days_to_liq_post_change_flat_observed,hf_7d_post_change_flat_observed,hf_30d_post_change_flat_observed,days_to_liq_pre_change_regime_observed_peak,hf_7d_pre_change_regime_observed_peak,hf_30d_pre_change_regime_observed_peak,days_to_liq_hypothetical_re_steepen_12,hf_7d_hypothetical_re_steepen_12,hf_30d_hypothetical_re_steepen_12,days_to_liq_hypothetical_crisis_20,hf_7d_hypothetical_crisis_20,hf_30d_hypothetical_crisis_20
2176,0xe9bcc1d1a96c30ae805c03f5c877aace9c2151f0,4.135506898312836,False,4.69266555,23.38138645,0.0,0.83,0.0,0.002,4.6643121345,0.9939579296248803,0.9939579296248803,False,inf,4.131606197108189,4.118815190602385,inf,4.129133463489728,4.108261165352784,inf,4.126526448967221,4.097156336421949,2846.8053430492187,4.121102969429574,4.074127801321859
2177,0xaa753bdea759db1f3524a429273f0aef4757ff88,4.142374824959603,False,2828.4197283,15020.99317555,8258.57533457,0.78,0.7381,0.44929694669250075,1047.8306002258155,0.37046503025758704,0.37046503025758704,False,inf,4.135068766238855,4.111142040255954,inf,4.1341467752152425,4.107223203812546,inf,4.1331739651715,4.103086172499415,3542.2377469968096,4.131147715820642,4.094462044604453
2178,0xb7c7b4ef978dcf8973af27fc958b835c1e248154,4.146199449586441,False,0.23238163,1.16084408,0.0,0.83,0.0,0.0001,0.233215606725,1.0035888238024666,1.0,False,inf,4.142321658159106,4.129605860623019,inf,4.1398274304061795,4.118959664104607,inf,4.137197774197433,4.107758213668535,2847.168117125432,4.131727256948885,4.084530487355344
2179,0x6af4aa08906cc9b0c46562ff1e38c6d83024c0bc,4.158786096980269,False,1.02682412,5.14499021,0.0,0.83,0.0,0.0004375,1.020318279421875,0.9936641139885525,0.9936641139885525,False,inf,4.154861828963337,4.141993539291831,inf,4.152375912614239,4.131383268905628,inf,4.149754998523897,4.120219242011295,2858.29263967001,4.144302600006793,4.09706788865515
2180,0x43e0775a55a48e6aabeef66560c2b24f8e86c372,4.170206513736163,False,2.21017211,11.56626943,4.51445693,0.7968,0.5814,2.9e-08,6.763252595025e-05,3.0600569812750923e-05,3.0600569812750923e-05,False,inf,4.1608210912302575,4.1301317393292365,inf,4.16082101461941,4.13013141450513,inf,4.160820933748812,4.130131070922108,inf,4.160820765182557,4.1301303524508155
2181,0x78938a21b5de7b9ac3048fcefde4ea4102ceeb0d,4.176392117275422,False,232.16846282,1168.22474458,0.0,0.83,0.0,0.1,233.21560672500001,1.0045102762549272,1.0,False,inf,4.172486087730419,4.1596776936238875,inf,4.1699736969849495,4.148953971391255,inf,4.16732489159223,4.137670951876135,2861.6935689342004,4.161814537979952,4.114274081017373
2182,0xaf3a7325c34845b19de21a4cf552654535ef4add,4.2345645699271355,False,9.39982182,51.03096467,28.87340168,0.78,0.75,0.004,9.328624269,0.9924256488725657,0.9924256488725657,False,inf,4.230561889442252,4.21743645638506,inf,4.2280338376501065,4.206646435001461,inf,4.225368495862103,4.195293200989877,2895.4926859026796,4.219823659078978,4.171749235700886
2183,0x50318d86d28da4d318a32a6e9b0fba47d4042bc4,4.281278069899202,False,13562.11019813,73427.46437731,39070.69626752,0.7907,0.7168,2.8,6530.036988299999,0.48149122023801194,0.48149122023801194,False,inf,4.274352138155926,4.2516613244112795,inf,4.273113370409713,4.246392154259162,inf,4.271806502880328,4.240832878301694,3455.0321794770584,4.269085042797096,4.229254711253455
2184,0x68005092cbdb8ae258262cacb33d4653df99b5af,4.288483621362457,False,31.18000955,161.10236177,0.0,0.83,0.0,0.01,23.3215606725,0.7479651548887996,0.7479651548887996,False,inf,4.283049645971058,4.265233750203571,inf,4.281121017992255,4.257015597355162,inf,4.279087037053421,4.248357231768658,3143.131223322443,4.274853624114536,4.23036494566832
2185,0x292cabb122aad64da74fcb54e2187296abb60624,4.34000544195273,False,1210.82981178,6737.18970821,3842.06246937,0.78,0.75,0.413,963.1804557742499,0.7954713754184091,0.7954713754184091,False,inf,4.334777575410454,4.317636001034956,inf,4.332701609964989,4.308787211182051,inf,4.330512371902884,4.2994667808054,3120.9305317354197,4.325956239443869,4.2801064255054415
